Username,GivenName,Surname,DisplayName,UserPrincipalName,Password,Formula for username,Path
MAnderson,Mr.,Anderson,Mr. Anderson,MAnderson@i.got.worms,123456,MAnderson,
CKent,Clark,Kent,Clark Kent,CKent@i.got.worms,12345,CKent,
DPrince,Diana,Prince,Diana Prince,DPrince@i.got.worms,123456789,DPrince,
BWayne,Bruce,Wayne,Bruce Wayne,BWayne@i.got.worms,password,BWayne,
BGordon,Barbara,Gordon,Barbara Gordon,BGordon@i.got.worms,iloveyou,BGordon,
IJones,Indiana,Jones,Indiana Jones,IJones@i.got.worms,princess,IJones,
JBlack,Jack,Black,Jack Black,JBlack@i.got.worms,1234567,JBlack,
SMan,Spider,Man,Spider Man,SMan@i.got.worms,rockyou,SMan,
PParker,Peter,Parker,Peter Parker,PParker@i.got.worms,12345678,PParker,
WWoman,Wonder,Woman,Wonder Woman,WWoman@i.got.worms,abc123,WWoman,
CAmerica,Captain,America,Captain America,CAmerica@i.got.worms,nicole,CAmerica,
IMan,Iron,Man,Iron Man,IMan@i.got.worms,daniel,IMan,
TStark,Tony,Stark,Tony Stark,TStark@i.got.worms,babygirl,TStark,
JHowlett,James,Howlett,James Howlett,JHowlett@i.got.worms,monkey,JHowlett,
GArrow,Green,Arrow,Green Arrow,GArrow@i.got.worms,lovely,GArrow,
PMan,Plastic,Man,Plastic Man,PMan@i.got.worms,jessica,PMan,
THulk,The,Hulk,The Hulk,THulk@i.got.worms,654321,THulk,
CUnderpants,Captain,Underpants,Captain Underpants,CUnderpants@i.got.worms,michael,CUnderpants,
PX,Professor,X,Professor X,PX@i.got.worms,ashley,PX,
BWire,Barb,Wire,Barb Wire,BWire@i.got.worms,qwerty,BWire,
BWidow,Black,Widow,Black Widow,BWidow@i.got.worms,111111,BWidow,
SThing,Swamp,Thing,Swamp Thing,SThing@i.got.worms,iloveu,SThing,
GHero,GreatAmerican,Hero,GreatAmerican Hero,GHero@i.got.worms,0,GHero,
SHammer,Sledge,Hammer,Sledge Hammer,SHammer@i.got.worms,michelle,SHammer,
PHerman,PeeWee,Herman,PeeWee Herman,PHerman@i.got.worms,tigger,PHerman,
HCortez,Hoyt,Cortez,Hoyt Cortez,HCortez@i.got.worms,sunshine,HCortez,
ABean,Adrienne,Bean,Adrienne Bean,ABean@i.got.worms,chocolate,ABean,
OCote,Oliver,Cote,Oliver Cote,OCote@i.got.worms,password1,OCote,
SGlenn,Sasha,Glenn,Sasha Glenn,SGlenn@i.got.worms,soccer,SGlenn,
WForeman,Wing,Foreman,Wing Foreman,WForeman@i.got.worms,anthony,WForeman,
PJoyner,Phillip,Joyner,Phillip Joyner,PJoyner@i.got.worms,friends,PJoyner,
MEspinoza,Miranda,Espinoza,Miranda Espinoza,MEspinoza@i.got.worms,butterfly,MEspinoza,
BShelton,Brody,Shelton,Brody Shelton,BShelton@i.got.worms,purple,BShelton,
RJoseph,Reece,Joseph,Reece Joseph,RJoseph@i.got.worms,angel,RJoseph,
JThornton,Jolene,Thornton,Jolene Thornton,JThornton@i.got.worms,jordan,JThornton,
